Product,Product Type Extension,Vendor,Effective,Remarks
"",Cheese Whiz Kraft,,Dairy,60 days,Kraft,3/1/03,Kraft Cheese products only
"",Cheesecake (KraftO,,Dairy,60 days,Kraft,3/1/03,Kraft Cheese products only
"",Cherries (frozen),,Fruit,24 months,N/A,6/1/97,
"",Chicken (canned),,Meats,2-5 years,N/A,12/23/03,
Cakes & brownie mixes,Cakes & brownie mixe
"Cheese (American,Cheddar, Mozzarella)",Cheese (American
"Cheddar, Mozzarella)",
"Cheese (Natural &Processed",Cheese (Natural &
Processed,
"Cheese Sauces #10 cans& 9 oz cans",Cheese Sauces #10 can
& 9 oz can,
Chocolate,Chocolate
Product,Product,Product Type,"Extensionperiod",Vendor,"EffectiveDate",Remarks,
"",Chicken- fried (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken- ground (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken nuggets (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken parts (frozen),,Meats,indefinitely,N/A,6/1/97,Until product appears bad
"",Chicken- parts (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken thighs (frozen),,Meats,indefinitely,N/A,6/1/97,Until product appears bad
"",Chicken- whole (frozen),,Meats,indefinitely,N/A,12/23/03,Until product appears bad
"",Chicken-Cut up (frozen),,Meats,indefinitely,N/A,6/1/97,Until product appears bad
"",Chicken-diced (frozen),,Meats,indefinitely,N/A,6/1/97,Until product appears bad
"",Chili Sauce,,Condiments,12 months,N/A,12/23/03,
Chocolate,Chocolate,Candy,18-24 months,N/A,12/23/03,,
"",Chocolate syrup,,Desserts,24 months,N/A,12/23/03,
"Citrus products (guava,kiwi-strawberry) OceanSpray",Citrus products (guava,Beverages,30 days,Ocean Spray,3/1/03,Ocean Spray only,
"",kiwi-strawberry) Ocea,,,,,,
"",Spra,,,,,,
"",Cocktail sauce,,Condiments,12 months,N/A,12/23/03,
"",Cocoa & cocoa mixe,,Desserts,indefinitely,N/A,12/23/03,
"",Coffee (ground in cans),,Beverages,24 months,N/A,12/23/03,
"",Coffee (instant),,Beverages,12 months,N/A,12/23/03,
Coffee (starbucks) Kraft,Coffee (starbucks) Kraft,Beverages,365,Kraft,3/1/03,"Kraft products only - onsiteonly",
"Coffee Creamer(liquid/non-dairy",Coffee Creamer,Beverages,9 months,N/A,5/26/05,Non-dairy only,
"",(liquid/non-dair,,,,,,
"Coffee Kraft brands   (seeremarks)",Coffee Kraft brands   (see,Beverages,180 days,Kraft,3/1/03,"Kraft brands (Burlaps, Gen.Foods, Hotel & Rest., Jedi,Maxwell House, Origins, Sanka,Office Coffee Systems)",
"",remarks),,,,,,
"",Cooked fish (frozen),,Seafood,6 months,N/A,12/23/03,
"",Cookie,,Snacks,8 months,,,
"",Cookies (Bakery type),,snacks,2 months,N/A,12/23/03,
"",Cookies Keebler,,Snacks,4 months,Keebler,3/7/03,Keebler only
Cooking oil,Cooking oi,"BakingIngredients",6 months,N/A,12/23/03,,
Cooking oil- spray,Cooking oil- spra,"BakingIngredients",2 years,N/A,12/23/03,,
"",Corn (canned),,Vegetables,5 years,N/A,12/23/03,
"",Corn (cream),,Vegetables,36 months,N/A,6/1/97,
"Corn Flake Crumbs &Croutettes  Kellogg",Corn Flake Crumbs,Breads & Cereal,27 months,Kellogg's,3/7/03,"Good for 27 months frommanufacture date.",
Croutettes  Kellogg,,,,,,,
"Citrus products (guava,kiwi-strawberry) OceanSpray",Citrus products (guava
kiwi-strawberry) Ocea,
Spra,
Coffee (starbucks) Kraft,Coffee (starbucks) Kraft
"Coffee Creamer(liquid/non-dairy",Coffee Creamer
(liquid/non-dair,
"Coffee Kraft brands   (seeremarks)",Coffee Kraft brands   (see
remarks),
Cooking oil,Cooking oi
Cooking oil- spray,Cooking oil- spra
"Corn Flake Crumbs &Croutettes  Kellogg",Corn Flake Crumbs
Croutettes  Kellogg,
"Corned beef (with picklingjuices) (frozen)",Corned beef (with picklin
juices) (frozen),
Cornmeal,Cornmea
Cornstarch,Cornstarc
"Corn-whole kernel(canned)",Corn-whole kerne
(canned),
Country Time Kraft,Country Time Kraft
"Crackers (Handi Snack,Snack Box)",Crackers (Handi Snack
Snack Box),
"Cranberry and othersauces Ocean Spray",Cranberry and othe
sauces Ocean Spra,
"Cream Cheese, NaturalCheese (Chunks/bars)Churney Cheese, Kraft","Cream Cheese, Natura"
Cheese (Chunks/bars),
"Churney Cheese, Kraft",
"Cream of Wheat, Creamof Rice Kraft","Cream of Wheat, Cream"
of Rice Kraft,
Dijonnaise Hellmann's,Dijonnaise Hellmann'
Product,Product,Product Type,"Extensionperiod",Vendor,"EffectiveDate",Remarks,
"Corned beef (with picklingjuices) (frozen)",Corned beef (with picklin,Meats,indefinitely,N/A,12/23/03,Until product appears bad,
"",juices) (frozen),,,,,,
Cornmeal,Cornmea,"BakingIngredients",12 months,N/A,12/23/03,,
"",Cornmea,,Breads & Cereal,12 months,N/A,6/1/97,
Cornstarch,Cornstarc,"BakingIngredients",18 months,N/A,12/23/03,,
"Corn-whole kernel(canned)",Corn-whole kerne,Vegetables,36 months,N/A,6/1/97,,
"",(canned),,,,,,
Country Time Kraft,Country Time Kraft,Beverages,"18 days (drymix) 60 days(bottles orpouches)",Kraft,3/1/03,Kraft products only,
"",Cracker Jack,,Snacks,90 days,N/A,4/25/05,Website info
"",Crackers,,snacks,8 months,N/A,12/23/03,
"Crackers (Handi Snack,Snack Box)",Crackers (Handi Snack,Snacks,60 days,Kraft,3/1/03,Kraft products only,
"",Snack Box),,,,,,
"",Crackers Keebler,,Snacks,4 months,Keebler,3/7/03,Keebler only
"",Craisin,,snacks,120 days,Ocean Spray,3/1/03,Ocean Spray only
"Cranberry and othersauces Ocean Spray",Cranberry and othe,Sides,90 days,Ocean Spray,3/1/03,Ocean Spray only,
"",sauces Ocean Spra,,,,,,
"",Crayfish (frozen),,Seafood,6 months,N/A,12/23/03,
"Cream Cheese, NaturalCheese (Chunks/bars)Churney Cheese, Kraft","Cream Cheese, Natura",Dairy,30 days,Kraft,3/1/03,Kraft Cheese products only,
"",Cheese (Chunks/bars),,,,,,
"","Churney Cheese, Kraft",,,,,,
"Cream of Wheat, Creamof Rice Kraft","Cream of Wheat, Cream",Breads & Cereal,60 days,Kraft,3/1/03,Kraft products only,
"",of Rice Kraft,,,,,,
"",Dates (frozen),,Fruit,12 months,N/A,6/1/97,
Dijonnaise Hellmann's,Dijonnaise Hellmann',Condiments,12 months,"UnileverBestfoods",1/19/06,"Hellmann's only, 3 monthextension - NetworkConnection - Volume 2,Issue 3",
"",Dream Whip (Kraft),,Desserts,60 days,Kraft,3/1/03,Kraft products only
"Dressings (Taste of Life,Seven Seas, GoodSeasons) Kraft",Dressings (Taste of Life,Condiments,60 days,Kraft,3/1/03,Kraft products only,
"Seven Seas, Good",,,,,,,
Seasons) Kraft,,,,,,,
"Dry packaged desserts(Jell-o, No bake) Kraft",Dry packaged desserts,Desserts,60 days,Kraft,3/1/03,Kraft products only,
"(Jell-o, No bake) Kraft",,,,,,,
"Dry soups/bullion/dipsKnorr only",Dry soups/bullion/dip,Soups,12 months,"UnileverBestfoods",1/19/06,"Knorr's only, 6 monthextension - NetworkConnection - Volume 2,Issue 3",
Knorr onl,,,,,,,
"Dressings (Taste of Life,Seven Seas, GoodSeasons) Kraft",Dressings (Taste of Life
"Seven Seas, Good",
Seasons) Kraft,
"Dry packaged desserts(Jell-o, No bake) Kraft",Dry packaged desserts
"(Jell-o, No bake) Kraft",
"Dry soups/bullion/dipsKnorr only",Dry soups/bullion/dip
Knorr onl,
Product,Product Type Extension,Vendor,Effective,Remarks
"",period,,Date,
Duck- whole (frozen),Meats 6 months,N/A,12/23/03,Until product appears bad
Egg beaters,Dairy 0 days,Nabisco,4/13/04,Nabisco only
(Fleischmann's,,,,
Egg mix (dried),Dairy 15 months,N/A,6/1/97,
Egg substitues (frozen),Dairy 12 months,N/A,12/23/03,
Eggo waffles &,Breads & Cereal 15 months,Kellogg's,3/7/03,Goo for 15 months from
pancakes,,,,manfacuture date.
Figs-dried,Fruit 18 months,N/A,6/1/97,
Fish (canned),Meats 2-5 years,N/A,12/23/03,
Fish nuggets (frozen),Meats indefinitely,N/A,6/1/97,Until product appears bad
Fish-breaded (frozen),Seafood indefinitely,N/A,12/23/03,Until product appears bad
Fish-raw (frozen),Seafood indefinitely,N/A,12/23/03,Until product appears bad
Flour - All types,Breads & Cereal 12 months,N/A,6/1/97,
Flour- Wheat,Baking 1 month,N/A,12/23/03,6-8 months in refrigerator
"",Ingredients,,,
Flour- White,Baking 12 months,N/A,12/23/03,
"",Ingredients,,,
Frosting- canned,Baking 10 months,N/A,12/23/03,
"",Ingredients,,,
Frosting mixes,Baking 12 months,N/A,12/23/03,
"",Ingredients,,,
Frozen toppings Kraft,Dairy 60 days,Kraft,3/1/03,Kraft products only
Fruit Snacks,Snacks 6 months,N/A,4/21/05,Fresh to 8 weeks past sell by
"",,,,"date, good to at least 6"
"",,,,months.
Fruits - canned,Fruit 18 months,N/A,12/23/03,
Fruits- dried,Fruit 6 months,N/A,12/23/03,
"Fruits-berries, melons",Fruit 6 months,N/A,12/23/03,
(frozen),,,,
"Garlic, chopped (jars)",Baking 18 months,N/A,12/23/03,
"",Ingredients,,,
Gatorade,Beverages 9 months,N/A,5/17/05,Website info
"Gelatin, flavored",Desserts 18 months,N/A,12/23/03,
"Gelatin, unflavored",Desserts 3 years,N/A,12/23/03,
Giblets (frozen),Meats indefinitely,N/A,12/23/03,Until product appears bad
Goose- whole (frozen),Meats indefinitely,N/A,12/23/03,Until product appears bad
Grape Juices (canned),Beverages 12 months,N/A,6/1/97,
Grapefruit Juice (canned),Beverages 24 months,N/A,6/1/97,
Product,Product Type Extension Vendor,,Effective,Remarks
"",period,,Date,
Gravy- dry mixes,Baking 2 years N/A,,12/23/03,
"",Ingredients,,,
Green Beans (canned),Vegetables 24 months N/A,,6/1/97,
Grits-Corn,Breads & Cereal 12 months N/A,,6/1/97,
Ground meat  (frozen),Meats indefinitely N/A,,12/23/03,Until product appears bad
Guacamole,Condiments 4 months N/A,,12/23/03,
Gummy Bears,Snacks 6 months N/A,,4/21/05,Fresh to 8 weeks past sell by
"",,,,"date, good to at least 6"
"",,,,months.
