Product,Product Type Extension,Vendor,Effective,Remarks
smoked links (frozen,,,,
Sausage- raw (frozen),Meats indefinitely N/A,,12/23/03,Until product appears bad
Sausages (frozen,Meats indefinitely N/A,,12/23/03,Until product appears bad
Scallops (frozen),Seafood indefinitely N/A,,12/23/03,Until product appears bad
"Seasonings, dry Adolph's",Baking 2 years Unilever,,1/19/06,"Adolph's only, 6 month"
"",Ingredients Bestfoods,,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
"Seasonings, liquid",Baking 1 year Unilever,,1/19/06,"Adolph's only, 3 month"
Adolph's,Ingredients Bestfoods,,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
Product Product Type Extension,,Vendor,Effective,Remarks
"",period,,Date,
Shortening,Baking 8 months,N/A,12/23/03,
"",Ingredients,,,
Shrimp,Seafood 12 months,N/A,12/23/03,
Side dishes/deli salads,Sides 60 days,Unilever,1/19/06,"Country Crock only, no"
Country Crock,,Bestfoods,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
Slim-Fast - all,various various,Unilever,1/19/06,"Slim-Fast, 2 month"
products,,Bestfoods,,extension on all products -
"",,,,Network Connection -
"",,,,"Volume 2, Issue 3"
Snack Bars Skippy,Snacks 6 months,Unilever,1/19/06,"Skippy only, 2 month"
"",,Bestfoods,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
Soda- carbonated canned,Beverages 9 months,N/A,12/23/03,
Soup - aseptic-pack,Soups 12 months,Unilever,1/19/06,"Knorr's only, 6 month"
Knorr,,Bestfoods,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
Soup mixes,Soups 12 months,N/A,12/23/03,
Soups (canned),Soups 5 years,N/A,12/23/03,
Soups (Del Monte private,Soups 12 months*,Del Monte,4/14/04,*Good for 3 yrs from
label soups),,,,manufacturer date (whichever
"",,,,is longer)
Soups and Liquid broths,Soups 5 years,Unilever,1/19/06,"Knorr's only, 3 month"
Knorr only,,Bestfoods,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
Soups dry mix  Lipton,Soups 12 months,Unilever,1/19/06,"Lipton only, 6 month"
"",,Bestfoods,,extension - Network
"",,,,"Connection - Volume 2,"
"",,,,Issue 3
Soy milk,Dairy 12 months,,7/29/05,
Spaghetti sauce mix,Sauces 2 years,N/A,12/23/03,
Spices,Baking 3 years,N/A,12/23/03,
"",Ingredients,,,
"Spices red pepper, chili",Baking 2 years,N/A,12/23/03,
powder,Ingredients,,,
Spinach (canned),Vegetables 5 years,N/A,12/23/03,
Product,Product,Product Type,"Extensionperiod",Vendor,"EffectiveDate",Remarks,
"Spreads, RefrigeratedPromise","Spreads, Refrigerated",Dairy,60 days,"UnileverBestfoods",1/19/06,"Promise only, 2 monthextension  - NetworkConnection - Volume 2,Issue 3",
"",Promise,,,,,,
Sqeeze-It Skippy,Sqeeze-It Skipp,Condiments,18 months,"UnileverBestfoods",1/19/06,"Skippy only, 2 monthextension - NetworkConnection - Volume 2,Issue 3",
"",Steaks & Roasts  (frozen),,Meats,12 months,N/A,12/23/03,
"",Stew (canned),,Meats,2-5 years,N/A,12/23/03,
"",Stove Top Classic,,Entrees,60 days,Kraft,3/1/03,Kraft products only
"",Stove Top Stuffing,,Sides,60 days,Kraft,3/1/03,Kraft products only
Sugar substitutes,Sugar substitute,"BakingIngredients",2 years,N/A,12/23/03,,
"Sugar, brown","Sugar, brow","BakingIngredients",4 months,N/A,12/23/03,,
"Sugar, granulated","Sugar, granulate","BakingIngredients",2 years,N/A,12/23/03,,
"",Sure Jel,,Desserts,60 days,Kraft,3/1/03,Kraft products only
"",Sweet potatoes (canned),,Vegetables,24 months,N/A,6/1/97,
"",Syrup- Maple,,Condiments,12 months,N/A,12/23/03,
"Taco Bell Kits, shells,tortillas Kraft","Taco Bell Kits, shells",Entrees,60 days,Kraft,3/1/03,Kraft products only,
"",tortillas Kraft,,,,,,
"",Taco Bell red sauces,,"BakingIngredients",120 days,Kraft,3/1/03,Kraft products only
"",salsa con queso,,,,,,
"",seasonings Kraft,,,,,,
Taco sauce mix,Taco sauce mi,"BakingIngredients",2 years,N/A,12/23/03,,
"Tang drink & HealthQuenchers   Kraft",Tang drink & Healt,Beverages,"18 days (drymix) 60 days(bottles orpouches)",Kraft,3/1/03,Kraft products only,
"",Quenchers   Kraft,,,,,,
"",Tapioca (Kraft),,Desserts,60 days,Kraft,3/1/03,Kraft products only
"",Tea Instant,,Beverages,3 years,N/A,12/23/03,
Tea Instant mixes Lipton,Tea Instant mixes Lipto,Beverages,3 years,"UnileverBestfoods",1/19/06,"Lipton only, 6 monthextension - NetworkConnection - Volume 2,Issue 3",
"Toaster pastries (fruitfilled)",Toaster pastries (fruit,Desserts,6 months,N/A,12/23/03,,
"",filled),,,,,,
"",Tomato paste,,Vegetables,24 months,N/A,6/1/97,
"Spreads, RefrigeratedPromise","Spreads, Refrigerated"
Promise,
Sqeeze-It Skippy,Sqeeze-It Skipp
Sugar substitutes,Sugar substitute
"Sugar, brown","Sugar, brow"
"Sugar, granulated","Sugar, granulate"
"Taco Bell Kits, shells,tortillas Kraft","Taco Bell Kits, shells"
tortillas Kraft,
Taco sauce mix,Taco sauce mi
"Tang drink & HealthQuenchers   Kraft",Tang drink & Healt
Quenchers   Kraft,
Tea Instant mixes Lipton,Tea Instant mixes Lipto
"Toaster pastries (fruitfilled)",Toaster pastries (fruit
filled),
Product,Product Type Extension Vendor,,Effective,Remarks
"",period,,Date,
Tomatoes (canned),Vegetables 24 months N/A,,6/1/97,
Turkey ground (frozen),Meats indefinitely N/A,,6/1/97,
Turkey Roasts (frozen),Meats indefinitely N/A,,6/1/97,Until product appears bad
Turkey Whole (frozen),Meats indefinitely N/A,,6/1/97,Until product appears bad
Turkey-parts (frozen),Meats indefinitely N/A,,12/23/03,Until product appears bad
TV dinners,Entrees 3 months N/A,,12/23/03,Until product appears bad
"Vanilla, lemon, all extracts",Baking 3 years N/A,,12/23/03,
"",Ingredients,,,
Wheat Quick Rolled,Breads & Cereal 12 months N/A,,6/1/97,
Whipped topping,Desserts 6 months N/A,,12/23/03,
Worcestershire sauce,Condiments 1 year N/A,,12/23/03,
Yogurt & Yoplait General,Dairy None General Mills,,4/13/04,Do not freeze
Mills,,,,
"Yogurt, Sour Cream,",Dairy 15 days Kraft,,3/1/03,"Kraft (Breyers, Cool-Whip,"
"Cottage Cheese, Dips-",,,,"Jello, Knudsen, Light n' Lively,"
Sour cream based Kraft,,,,Breakstone)
