,Ingredient,Average retail price,Unit,Refrigerator Storage,Freezer Storage
95,1/2-pound potato,0.56,per pound,3-5 days at room temperature,6 months
96,3-to 3 1/4-pound butternut squash,1.24,per pound,3-5 days at room temperature,6 months
97,1 3/4-pound papaya,1.30,per pound,3-5 days at room temperature,6 months
98,"honeydew melon (5 pounds), chilled",0.80,per pound,3-5 days at room temperature,6 months
99,cantaloupe melon (1 1/2 pounds),0.54,per pound,3-5 days at room temperature,6 months
100,1 3/4-pound cantaloupe,0.54,per pound,3-5 days at room temperature,6 months
101,1 1/2-pound red cabbage,1.06,per pound,3-5 days at room temperature,6 months
102,mixed greens with raspberry vinaigrette,6.986,per pound,3-5 days,8-12 months
103,"onion greens, to garnish",1.04,per pound,3-5 days,8-12 months
104,medium-size greens spinach,3.83,per pound,3-5 days,8-12 months
105,"greens beet greens, swiss chard, kale, collards, mustard greens, turnip greens",2.81,per pound,3-5 days,8-12 months
106,"salad greens baby kale, or spinach",2.81,per pound,3-5 days,8-12 months
107,"leafy greens (kale, collards, and mustard",2.81,per pound,3-5 days,8-12 months
108,"greens baby kale, or collards",2.81,per pound,3-5 days,8-12 months
109,collard greens slaw,2.63,per pound,3-5 days,8-12 months
110,collard greens,2.63,per pound,3-5 days,8-12 months
111,lb collard greens,2.63,per pound,3-5 days,8-12 months
112,turnip greens or kale,2.47,per pound,3-5 days,8-12 months
113,turnip greens,2.47,per pound,3-5 days,8-12 months
114,"turnip greens, kale, or mustard greens",2.47,per pound,3-5 days,8-12 months
115,oz pear tomatoes,1.46,per pound,1 week,8-12 months
116,yellow pear tomatoes tomatoes,1.46,per pound,1 week,8-12 months
117,yellow pear tomatoes,1.46,per pound,1 week,8-12 months
118,pear tomatoes,1.46,per pound,1 week,8-12 months
119,cherry tomatoes tomatoes,3.59.per pound,0.92,1 week,8-12 months
120,basket cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
121,cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
122,lb cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
123,cherry tomatoes tomatoes tomatoes,3.59.per pound,0.92,1 week,8-12 months
124,200 grams cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
125,heirloom cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
126,mixed cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
127,tomato cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
128,bags cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
129,red cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
130,baskets cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
131,vine-ripened cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
132,mixed-color cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
133,confit cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
134,yellow cherry tomatoes,3.59.per pound,0.92,1 week,8-12 months
135,cherry tomato (about 20 tomatoes),3.59.per pound,0.92,1 week,8-12 months
136,grape tomatoes tomatoes,2.09,per pound,1 week,8-12 months
137,grape tomatoes,2.09,per pound,1 week,8-12 months
138,tomatoes with green pepper and onion,1.04,per pound,1 week,8-12 months
139,tomatoes with garlic and onion,1.04,per pound,1 week,8-12 months
140,"red, yellow, and orange tomatoes",1.04,per pound,1 week,8-12 months
141,"small red, yellow, and orange cherry tomatoes",1.04,per pound,1 week,8-12 months
142,lbs plum tomatoes,1.83,per pound,1 week,8-12 months
143,yellow heirloom plum tomatoes,1.83,per pound,1 week,8-12 months
144,plum tomatoes,1.83,per pound,1 week,8-12 months
145,large ripe plum tomatoes,1.83,per pound,1 week,8-12 months
146,chopped seeded diced plum tomatoes,1.83,per pound,1 week,8-12 months
147,lb plum tomatoes,1.83,per pound,1 week,8-12 months
148,yellow baby plum tomatoes tomatoes,1.83,per pound,1 week,8-12 months
149,plum tomatoes tomatoes,1.83,per pound,1 week,8-12 months
